iteration,time_seconds,compliance,volume_fraction,change,time_fe_assembly,time_fe_solve,time_filter,time_optimizer
98,70.9042169,221.797769837027,0.499090184542504,0.199884242205566,0.0393468,0.0515928,0.0106011,0.6953519
99,71.7500431,221.883140097509,0.499276103282462,0.199840372214322,0.0497376,0.0607224,0.0111794,0.7163803
100,72.5679669,221.381943665285,0.499681108905137,0.199858036467329,0.0531626,0.059452,0.0105161,0.6862361
101,73.4044697,221.098984387198,0.499892117617272,0.199856306567054,0.0468919,0.0589818,0.0111708,0.7085977
102,74.50521,220.994145591012,0.499963307478278,0.199853982427919,0.0503647,0.0617462,0.0108119,0.970106
103,75.4291259,220.971369523555,0.499987951771563,0.198848243218337,0.0519956,0.0707712,0.0151841,0.7776688
104,76.2640148,220.971340150001,0.499993622899374,0.126164532674541,0.057623,0.076455,0.0128573,0.6779166
105,77.1474531,220.965244869218,0.499995331427236,0.0656930084708456,0.0423443,0.0577405,0.0110558,0.7648882
106,77.8797353,220.961766459277,0.49999605252123,0.0368882709263173,0.0474451,0.0519995,0.0101706,0.614555
107,78.6866749,220.94893399783,0.499995998465671,0.0299406436315219,0.0440663,0.0539488,0.0109125,0.6913516
108,79.4660047,220.933130262725,0.499995767308344,0.034495203089623,0.0588951,0.0638235,0.0104213,0.6393287
109,80.2965135,220.917214345279,0.499995022677384,0.070346720516491,0.0436663,0.0534837,0.0120373,0.7108983
110,81.1060503,220.888225182543,0.499992179828251,0.196530629005984,0.0472962,0.0558721,0.0103668,0.6866435
111,81.9267706,220.903612581812,0.499983283109932,0.198642765432011,0.0443829,0.0553937,0.0101623,0.7030459
112,82.7990224,220.844080489022,0.49997247610649,0.19977429042989,0.0441399,0.0578695,0.0111063,0.7516883
113,83.5768925,220.922874853451,0.499936717985749,0.199851179266704,0.0440727,0.0603987,0.0092687,0.6560856
114,84.3515135,221.019921261733,0.499869624244851,0.199891578126344,0.0421708,0.0502693,0.0096704,0.6654011
115,85.164749,221.181944505984,0.499728505673501,0.199920878486038,0.0459745,0.0548661,0.0103019,0.6956176
116,85.9665019,221.512779276025,0.499327423885636,0.199913075383096,0.0459883,0.0539222,0.0103453,0.6838611
117,86.7880985,222.429630809032,0.49884926874498,0.199924435716083,0.041932,0.0552503,0.0107986,0.7053391
118,87.5655326,221.805898767891,0.498813703647212,0.199903266329217,0.0440242,0.0537198,0.0104033,0.6626504
119,88.3470303,221.594882451781,0.49919655920273,0.199894464478257,0.0490629,0.0525246,0.0100257,0.6621654
120,89.1091401,221.240238818524,0.499577668065603,0.199929059510034,0.0479347,0.0570926,0.0106585,0.6390267
121,89.8757106,220.970350875626,0.499848225919082,0.199541710416411,0.0411444,0.0532635,0.0102556,0.6547592
122,90.6464106,220.827608095557,0.499954383582078,0.199582110380597,0.041535,0.051594,0.0099127,0.6598256
123,91.4274648,220.789426684745,0.499986088052086,0.175447252603116,0.0412929,0.058147,0.0122868,0.6615775
124,92.2193403,220.786955826336,0.499995206390877,0.100478667850769,0.0416274,0.0574136,0.010699,0.6750758
125,92.9833146,220.789077524105,0.499997122916297,0.0450355470154305,0.0422915,0.0521214,0.0107202,0.6521984
126,93.7912314,220.793049271486,0.499997650235573,0.0216465803556221,0.0412463,0.0535124,0.0106265,0.6959222
127,94.579212,220.792183321263,0.49999772247419,0.0296865566916586,0.0465381,0.0567121,0.0109989,0.6626483
128,95.339646,220.791582035549,0.499997234045547,0.128739944101698,0.0407021,0.055899,0.0111653,0.6446478
129,96.1277156,220.785447540853,0.499996842413879,0.10985502937721,0.0413735,0.050754,0.0101784,0.6788577
130,96.8876113,220.783994468782,0.499996100184056,0.070780181736746,0.0408455,0.0470959,0.0125179,0.6493876
131,97.6557482,220.77166067395,0.499992641442526,0.192821268197812,0.041674,0.0518622,0.010604,0.6565221
132,98.4364424,220.801142777897,0.499976418478622,0.199743923572861,0.0443766,0.053685,0.0107564,0.6654093
133,99.2521719,220.813867806097,0.499946288342998,0.199577247797861,0.0438291,0.0573058,0.0104652,0.6974478
134,100.0618055,220.916423229037,0.499876567496676,0.199897372765539,0.0473173,0.0575327,0.0100493,0.686494
